ID,Carbaryl_Sensitivity
001,NA
002,NA
007,NA
008,NA
012,NA
013,NA
014,NA
015,9
016,NA
017,NA
019,NA
020,1
022,3
025,NA
026,3
027,6
028,3
029,NA
030,1.667
031,8
034,1
035,1
038,NA
039,1
041,1
043,3
044,1
046,1
047,7
048,1
062,3
063,3
064,1
065,6
067,1
069,3.6667
072,2.3333
073,1
075,3
077,1
079,1
082,1
083,1.5
086,NA
087,5.5
090,1
093,1
094,2
096,1
097,3
099,NA
118,1
126,5
131,NA
132,1
133,NA
135,NA
136,NA
137,4.667
139,7
147,1
149,3
150,1
151,1
152,NA
153,NA
154,4
155,3
156,NA
157,5
158,1
161,7
167,NA
183,2
184,1
185,6
186,4
187,NA
188,6
189,2
190,2.33335
198,NA
201,NA
202,3
203,7
204,5
205,9
206,3
207,8
209,6
218,1
219,NA
220,4
221,9
222,1
223,5
225,5
230,3
231,1
234,1
323,6.5
326,NA
327,NA
333,NA
338,1
339,5
340,1
341,1
342,1
343,4
345,7
347,2
348,4
350,1.6667
351,1
352,NA
353,1
355,1
358,3
362,3
366,3
372,6
376,1
381,1
382,3
384,1
385,1
399,NA
400,NA
401,3
403,2
404,1
405,8
406,1
408,6
409,5
410,6
